"Start Time","End Time","Activity ID","Activity Name","Description","Location Name","Time Zone","Offset","Duration (h:m:s)","Elapsed Duration (h:m:s)","Moving Duration (h:m:s)","Activity Parent","Activity Type","Event Type","Device","Gear","Privacy","File Format","Distance (km)","Average Speed (km/h)","Average Speed (km/h or min/km)","Average Moving Speed (km/h)","Average Moving Speed (km/h or min/km)","Max. Speed (km/h)","Max. Speed (km/h or min/km)","Elevation Gain (m)","Elevation Loss (m)","Elevation Min. (m)","Elevation Max. (m)","Elevation Corrected","Begin Latitude (Â°DD)","Begin Longitude (Â°DD)","End Latitude (Â°DD)","End Longitude (Â°DD)","Max. Heart Rate (bpm)","Average Heart Rate (bpm)","Calories","VO2max","Aerobic Training Effect","Anaerobic Training Effect","Avg. Run Cadence","Max. Run Cadence","Stride Length","Steps","Avg. Cadence (rpm)","Max. Cadence (rpm)","Strokes","Avg. Temp (Â°C)","Min. Temp (Â°C)","Max. Temp (Â°C)"
"2021-07-28T11:34:29+02:00","2021-07-28T12:20:40+02:00","7203093510","Linselles Course","","Linselles","Europe/Paris","+02:00","00:45:21","00:46:11","00:45:19","Any Activity Type","Running","Uncategorized","Forerunner 245 7.20.0.0","","private","fit","8.16373","10.800000000000002","05:33","10.808024210137921","05:33","12.193200302124025","04:55","26.51","26.83","16.2","38.0","true","50.737341","3.072167","50.735943","3.059735","176","163","616","48.0","3.8","","151.97","159.0","118.44","6832","","","","","",""
"2021-07-27T15:39:27+02:00","2021-07-27T16:20:52+02:00","7198547059","Linselles - VMA courte 12x(30s-30s)","","Linselles","Europe/Paris","+02:00","00:41:25","00:41:25","00:35:40","Any Activity Type","Running","Uncategorized","Forerunner 245 7.20.0.0","","private","fit","6.12687","8.877600288391113","06:46","10.30598853280458","05:49","17.164800453186036","03:30","13.43","16.36","15.5","32.25","true","50.737278","3.071971","50.735978","3.059747","185","154","475","","3.3","2.2","","","","5630","","","","","",""
"2021-07-23T10:36:20+02:00","2021-07-23T11:09:25+02:00","7174352233","Linselles Course","","Linselles","Europe/Paris","+02:00","00:33:05","00:33:05","00:33:00","Any Activity Type","Running","Uncategorized","Forerunner 245 7.20.0.0","","private","fit","5.91145","10.72079973220825","05:36","10.749138996702484","05:35","13.83840036392212","04:20","20.19","22.82","16.89","34.29","true","50.737392","3.072009","50.735895","3.059457","176","161","443","48.0","3.4","0.1","148.83","165.0","120.09","4914","","","","","",""
"2021-07-21T15:31:44+02:00","2021-07-21T16:43:38+02:00","7164344884","Linselles Cyclisme","","Linselles","Europe/Paris","+02:00","01:11:54","01:11:54","01:11:49","Any Activity Type","Cycling","Uncategorized","Forerunner 245 7.20.0.0","","private","fit","32.84620","27.410399436950684","27.4","27.44221680119687","27.4","49.1759994506836","49.2","506.53","503.7","20.08","59.77","true","50.737330","3.072023","50.761084","3.047979","180","154","827","","3.5","2.3","","","","","","","","","",""
"2021-07-20T11:22:28+02:00","2021-07-20T12:26:07+02:00","7156844593","Linselles Cyclisme","","Linselles","Europe/Paris","+02:00","01:03:39","01:03:39","01:03:37","Any Activity Type","Cycling","Uncategorized","Forerunner 245 7.20.0.0","","private","fit","30.01189","28.288799285888672","28.3","28.308941879069426","28.3","51.56279983520508","51.6","451.05","455.16","19.67","59.63","true","50.737396","3.071963","50.764655","3.053657","182","154","723","","3.4","2.1","","","","","","","","","",""
"2021-07-19T15:31:21+02:00","2021-07-19T16:04:25+02:00","7152174542","Linselles Course","","Linselles","Europe/Paris","+02:00","00:28:59","00:33:04","00:28:52","Any Activity Type","Running","Uncategorized","Forerunner 245 7.20.0.0","","private","fit","5.06994","10.493999862670899","05:43","10.537166155022906","05:42","12.564000034332276","04:47","21.99","24.68","16.98","34.18","true","50.737391","3.071978","50.735946","3.059555","176","158","375","48.0","3.1","","146.59","158.0","119.27","4244","","","","","",""
"2021-07-18T09:43:36+02:00","2021-07-18T10:45:52+02:00","7144746417","Linselles Cyclisme","","Linselles","Europe/Paris","+02:00","01:02:16","01:02:16","01:02:14","Any Activity Type","Cycling","Uncategorized","Forerunner 245 7.20.0.0","","private","fit","30.68931","29.574000549316406","29.6","29.586197105228287","29.6","45.51479873657227","45.5","172.39","161.06","19.14","50.93","true","50.737347","3.072047","50.731424","3.069837","178","154","752","","3.5","0.3","","","","","","","","","",""
"2021-07-16T17:24:08+02:00","2021-07-16T18:26:58+02:00","7136270039","Linselles Cyclisme","","Linselles","Europe/Paris","+02:00","01:02:50","01:02:50","01:02:48","Any Activity Type","Cycling","Uncategorized","Forerunner 245 7.20.0.0","","private","fit","30.65483","29.271598434448244","29.3","29.289927804949357","29.3","48.10320167541504","48.1","175.13","170.82","18.39","48.74","true","50.737272","3.071958","50.731457","3.069879","185","156","737","","3.5","2.0","","","","","","","","","",""
"2021-07-14T09:15:27+02:00","2021-07-14T12:17:32+02:00","7123536504","Linselles Cyclisme","","Linselles","Europe/Paris","+02:00","02:56:50","03:02:05","02:55:04","Any Activity Type","Cycling","Uncategorized","Forerunner 245 7.20.0.0","","private","fit","83.09817","28.19519920349121","28.2","28.479537575011168","28.5","51.96600151062012","52.0","522.68","524.41","11.14","149.81","true","50.737318","3.071996","50.718102","3.015118","191","161","1930","","4.9","2.5","","","","","","","","","",""
"2021-07-12T10:21:02+02:00","2021-07-12T11:11:43+02:00","7111637728","Linselles Course","","Linselles","Europe/Paris","+02:00","00:49:59","00:50:41","00:49:55","Any Activity Type","Running","Uncategorized","Forerunner 245 7.20.0.0","","private","fit","8.78023","10.537200164794923","05:42","10.554331465157452","05:41","13.370399951934814","04:29","52.48","57.29","21.0","45.94","true","50.737346","3.071831","50.742611","3.062732","175","164","672","48.0","3.9","","148.72","157.0","118.11","7400","","","","","",""
"2021-07-11T09:34:50+02:00","2021-07-11T10:30:44+02:00","7105583387","Linselles Cyclisme","","Linselles","Europe/Paris","+02:00","00:55:54","00:55:54","00:55:52","Any Activity Type","Cycling","Uncategorized","Forerunner 245 7.20.0.0","","private","fit","27.10731","29.098800659179688","29.1","29.11183022005907","29.1","47.0591983795166","47.1","127.67","131.06","16.05","45.66","true","50.737461","3.070556","50.756013","3.042248","183","153","668","","3.3","1.9","","","","","","","","","",""
"2021-07-08T16:48:58+02:00","2021-07-08T17:51:01+02:00","7100116289","Linselles Cyclisme","","Linselles","Europe/Paris","+02:00","01:02:03","01:02:03","01:01:58","Any Activity Type","Cycling","Uncategorized","Forerunner 245 7.20.0.0","","private","fit","30.65079","29.635201263427735","29.6","29.675072337885545","29.7","47.09519920349121","47.1","179.19","175.93","19.07","50.95","true","50.737334","3.071919","50.731476","3.069941","186","154","713","","3.4","2.4","","","","","","","","","",""
"2021-07-07T16:10:05+02:00","2021-07-07T17:22:24+02:00","7091523247","Linselles Cyclisme","","Linselles","Europe/Paris","+02:00","01:12:19","01:12:19","01:11:57","Any Activity Type","Cycling","Uncategorized","Forerunner 245 7.20.0.0","","private","fit","33.44693","27.74880065917969","27.7","27.891332388749078","27.9","53.13959884643555","53.1","368.18","367.98","19.0","57.99","true","50.737353","3.072025","50.764615","3.053622","184","160","865","","3.7","2.7","","","","","","","","","",""
"2021-07-05T16:01:42+02:00","2021-07-05T17:09:20+02:00","7074132901","Linselles Cyclisme","","Linselles","Europe/Paris","+02:00","01:07:38","01:07:38","01:07:37","Any Activity Type","Cycling","Uncategorized","Forerunner 245 7.20.0.0","","private","fit","35.35572","31.363199615478518","31.4","31.37689319961504","31.4","43.23239936828613","43.2","182.51","185.91","18.4","48.76","true","50.737283","3.072052","50.731442","3.069817","182","163","895","","4.2","1.2","","","","","","","","","",""
"2021-07-03T09:57:11+02:00","2021-07-03T11:51:26+02:00","7061331215","Linselles Cyclisme","","Linselles","Europe/Paris","+02:00","01:54:15","01:54:15","01:53:53","Any Activity Type","Cycling","Uncategorized","Forerunner 245 7.20.0.0","","private","fit","54.35007","28.544399642944338","28.5","28.6359454250655","28.6","48.06720085144044","48.1","303.42","309.6","11.08","141.3","true","50.737285","3.071937","50.718108","3.015148","183","160","1311","","4.4","2.0","","","","","","","","","",""
"2021-06-27T10:05:54+02:00","2021-06-27T11:41:04+02:00","7028549418","Linselles Cyclisme","","Linselles","Europe/Paris","+02:00","01:35:10","01:35:10","01:35:00","Any Activity Type","Cycling","Uncategorized","Forerunner 245 7.20.0.0","","private","fit","45.05564","28.407599258422852","28.4","28.45818141015472","28.5","49.478401565551756","49.5","414.12","415.39","19.16","59.55","true","50.737046","3.072222","50.764852","3.053702","184","158","1092","","3.9","2.1","","","","","","","","","",""
"2021-06-26T15:47:32+02:00","2021-06-26T17:01:09+02:00","7024598749","Linselles Cyclisme","","Linselles","Europe/Paris","+02:00","01:11:50","01:13:37","01:11:49","Any Activity Type","Cycling","Uncategorized","Forerunner 245 7.20.0.0","","private","fit","36.85538","30.783598709106446","30.8","30.79079059880179","30.8","44.60759925842285","44.6","190.25","194.86","18.53","50.97","true","50.737352","3.071899","50.731430","3.069795","182","161","936","","3.9","1.0","","","","","","","","","",""
"2021-06-24T17:30:22+02:00","2021-06-24T18:22:33+02:00","7013977217","Linselles Course","","Linselles","Europe/Paris","+02:00","00:50:48","00:52:11","00:50:29","Any Activity Type","Running","Uncategorized","Forerunner 245 7.20.0.0","","private","fit","8.80076","10.39680004119873","05:46","10.46103324164083","05:44","13.10039978027344","04:35","36.13","35.31","21.0","45.97","true","50.737417","3.072005","50.742699","3.062809","175","160","655","47.0","3.7","","142.58","155.0","121.38","7256","","","","","",""
"2021-06-22T16:41:54+02:00","2021-06-22T17:12:14+02:00","7002240596","Linselles Course","","Linselles","Europe/Paris","+02:00","00:30:20","00:30:20","00:30:15","Any Activity Type","Running","Uncategorized","Forerunner 245 7.20.0.0","","private","fit","5.94691","11.761199855804444","05:06","11.797994412112395","05:05","13.26960039138794","04:31","17.2","22.3","20.35","36.0","true","50.737317","3.072154","50.735919","3.059725","188","168","422","47.0","3.7","0.2","150.94","161.0","129.89","4562","","","","","",""
"2021-06-20T08:45:09+02:00","2021-06-20T10:36:19+02:00","6989359120","Wervicq-Sud Cyclisme","","Wervicq-Sud","Europe/Paris","+02:00","01:51:10","01:51:10","01:51:08","Any Activity Type","Cycling","Uncategorized","Forerunner 245 7.20.0.0","","private","fit","54.28414","29.296798324584962","29.3","29.30804469906517","29.3","48.9060001373291","48.9","304.29","295.43","11.05","143.09","true","50.750682","3.055369","50.766367","3.010883","184","157","1253","","4.1","2.1","","","","","","","","","",""
"2021-06-19T18:00:28+02:00","2021-06-19T18:52:04+02:00","6986895070","Linselles Course","","Linselles","Europe/Paris","+02:00","00:51:36","00:51:36","00:51:33","Any Activity Type","Running","Uncategorized","Forerunner 245 7.20.0.0","","private","fit","9.38522","10.91159963607788","05:30","10.923977253175531","05:30","13.068000411987304","04:35","72.03","64.74","21.0","49.6","true","50.737320","3.072005","50.742561","3.062626","180","170","710","46.0","4.5","","146.45","156.0","124.18","7536","","","","","",""
"2021-06-16T18:25:30+02:00","2021-06-16T19:37:46+02:00","6970039918","Linselles Cyclisme","","Linselles","Europe/Paris","+02:00","01:10:01","01:12:16","01:09:44","Any Activity Type","Cycling","Uncategorized","Forerunner 245 7.20.0.0","","private","fit","32.64256","27.97199993133545","28.0","28.089629722451047","28.1","51.930000686645506","51.9","375.23","365.23","19.04","59.73","true","50.740573","3.069537","50.760884","3.054867","186","163","858","","4.1","3.0","","","","","","","","","",""
